Extraction Index	Sentence Index	DocId	Entity(NP)	Relation	Slotfill(tag)	Sentence
705	17852	NYT_ENG_20080203.0075.LDC2009T13	NULL			PHOENIX More parties.
707	17071	NYT_ENG_20071008.0208.LDC2009T13	NULL			Prop?t attorney Bruce Kaser declined to comment because the litigation is ongoing.
708	6041	APW_ENG_20070426.0423.LDC2009T13	NULL			Two days earlier, a double truck-bombing killed nine U.S. soldiers in the volatile province.
709	17277	NYT_ENG_20071123.0006.LDC2009T13	NULL			Initial reports from state news media on Wednesday stated that one construction worker died, another was injured and two more were trapped in a landslide on Tuesday at a railroad construction site in Badong County, upstream of the Three Gorges Dam.
710	10166	APW_ENG_20080423.0015.LDC2009T13	NULL			R
711	17032	NYT_ENG_20070925.0140.LDC2009T13	NULL			'British actor Damian Lewis is a natural lead as an oddball American in NBC''s "Life," which premieres Wednesday night.'
712	1046	AFP_ENG_20070615.0397.LDC2009T13	NULL			But I recognise that more should be done, especially by member states," Barroso said.
713	17156	NYT_ENG_20071015.0116.LDC2009T13	NULL			Something in between?
714	7834	APW_ENG_20070919.0847.LDC2009T13	NULL			'LONDON -- Kosovo''s ethnic Albanian leaders join talks on the future of the disputed province with envoys from the United States, European Union and Russia amid concerns that patience is at breaking point.'
715	4970	APW_ENG_20070316.0001.LDC2009T13	NULL			"There is nothing that I can possibly say to make up or make well the deaths of those women and children, and I am absolutely sorry it happened that day," Wuterich told CBS.
716	11171	APW_ENG_20080806.1271.LDC2009T13	NULL			The dollar climbed to eight-week highs against the euro and seven-month highs against the yen Wednesday as fears of a global slowdown helped the dollar continue its rally.
717	559	AFP_ENG_20070304.0145.LDC2009T13	NULL			Advocates of changing the 141-year-old treaty rules defining who is a Cherokee say the tribal nation has a sovereign right to decide citizenship and that other tribes base membership on blood lines.
718	10672	APW_ENG_20080519.0518.LDC2009T13	NULL			The negotiations between Pakistan and India are aimed at ultimately resolving their conflict over the divided Himalayan territory of Kashmir.
719	13026	LTW_ENG_20070124.0139.LDC2009T13	NULL			'``I talked with Al this morning,'''' said Davis Guggenheim, the film''s director.'
720	1304	AFP_ENG_20070821.0230.LDC2009T13	NULL			'Egypt, which provides between five and 10 percent of Gaza''s electricity, said the supplies should not be used for political ends.'
721	11721	APW_ENG_20080907.0093.LDC2009T13	NULL			Drew has been playing golf on family outings for two years.
722	10732	APW_ENG_20080525.0525.LDC2009T13	NULL			England vs. New Zealand Scoreboard
723	13463	LTW_ENG_20070726.0001.LDC2009T13	NULL			'Nevertheless, I find myself inspired by Luther''s courageous uprising.'
724	6230	APW_ENG_20070526.0545.LDC2009T13	NULL			"This is hypocrisy by this regime," he said.
725	161	AFP_ENG_20070130.0048.LDC2009T13	NULL			'Some 500 experts are meeting in Paris this week ahead of the release on Friday of the IPCC''s first report since 2001 on the state of scientific knowledge on global warming.'
726	5413	APW_ENG_20070325.0005.LDC2009T13	NULL			'David Banach -- BAN''-ich'
727	18942	NYT_ENG_20080516.0037.LDC2009T13	NULL			But Philadelphia ended the period with a 17-13 edge in shots.
728	17222	NYT_ENG_20071024.0190.LDC2009T13	NULL			'"America shouldn''t be even-handed in dealing with the difference between an elected democracy that''s a government ruled by law, and a group of terrorists," he said.'
729	11276	APW_ENG_20080813.0002.LDC2009T13	NULL			WITH:
730	6943	APW_ENG_20070718.1602.LDC2009T13	NULL			company claims best quarterly growth since 2001
731	2083	AFP_ENG_20080121.0681.LDC2009T13	NULL			Taiwan may ease China-bound investment restrictions: reports
732	14466	LTW_ENG_20080424.0148.LDC2009T13	NULL			"I would love to see something really good happen for this family," wrote Heaton, 38, of Glen Allen, Va.
734	6908	APW_ENG_20070717.0848.LDC2009T13	NULL			New intelligence report: Al-Qaida may use Iraqi network to attack U.S.
735	18811	NYT_ENG_20080508.0246.LDC2009T13	NULL			'"The whole emphasis has been on ((the high school)) and that it''s going to be built no matter what."'
736	10640	APW_ENG_20080511.0383.LDC2009T13	NULL			"It is our general policy not to comment on such market rumors," he said.
737	5665	APW_ENG_20070325.0005.LDC2009T13	NULL			'Roger Etchegaray -- roh-ZHAY'' eh-cheh-gah-RAY'''
738	17869	NYT_ENG_20080203.0075.LDC2009T13	NULL			Locals welcome
739	835	AFP_ENG_20070425.0672.LDC2009T13	NULL			27/02/2004: Colombo Australia won by 40 runs
740	21540	XIN_ENG_20080401.0263.LDC2009T13	NULL			Another two males killed in the riots have not yet been identified.
741	4657	APW_ENG_20070220.0555.LDC2009T13	NULL			Shares were up 0.2 percent at euro44.40 (US$58.31).
742	12372	APW_ENG_20081105.1636.LDC2009T13	NULL			'Banks continued to ratchet down the rates they charge one another for borrowing on Wednesday, but the key interbank lending rate -- the London Interbank Offered Rate, or Libor -- remains well above the Federal Reserve''s target interest rate of 1 percent.'
744	21762	XIN_ENG_20080731.0146.LDC2009T13	NULL			Santander Group owns Banco de Venezuela and it has 700 million U.S. dollars invested in Venezuela operations, and it is the third largest bank regarding deposits and the fourth on credit portfolio.
745	20783	XIN_ENG_20070903.0046.LDC2009T13	NULL			Observers here said this is the formal end of the first step of a seven-step roadmap to democracy.
746	10270	APW_ENG_20080423.0015.LDC2009T13	NULL			'Schadenfreude -- SHAHD''-ehn-froy-duh'
747	9073	APW_ENG_20080107.1008.LDC2009T13	NULL			All, with the exception of "Hairspray," were also contenders for best picture, along with "American Gangster," "The Diving Bell and the Butterfly," "The Kite Runner" and "There Will Be Blood."
748	12536	APW_ENG_20081118.1030.LDC2009T13	NULL			The new company, named Anheuser-Busch InBev, will be headed by InBev CEO Carlos Brito and will be headquartered at Leuven, Belgium.
749	9015	APW_ENG_20071230.0022.LDC2009T13	NULL			"The Iraqi people -- every day, and in increasing numbers -- are choosing freedom and standing against the murderous, hateful ideology of AQI.
750	13199	LTW_ENG_20070327.0091.LDC2009T13	NULL			Born: Jan. 30, 1909, in Chicago
751	13467	LTW_ENG_20070728.0017.LDC2009T13	NULL			On a sloping patch of withered grass at his Clarke County, Va., farm one recent afternoon, William Cross did what any seasoned farmer touched with the gift will do in search of a spot to dig a well.
752	1106	AFP_ENG_20070704.0639.LDC2009T13	NULL			'More than 600 senior executives are registered for the two-day meeting of the UN''s Global Compact, a controversial seven year- old partnership set up by Ban''s predecessor Kofi Annan.'
753	17590	NYT_ENG_20080114.0047.LDC2009T13	NULL			Jim Rockford very much belongs in the great, shaggy tradition of the LA detective.
754	14697	LTW_ENG_20080802.0036.LDC2009T13	NULL			The clock is ticking, not only for Reed, but for a generation of venerated musicians.
755	6070	APW_ENG_20070426.1787.LDC2009T13	NULL			Liddell said Vista beat internal forecasts by $300 million (euro220.65 million) to $400 million (euro294.2 million), and Office 2007 sales were $200 million (euro147.1 million) better than expected.
756	12736	APW_ENG_20081229.0589.LDC2009T13	NULL			"No, no to Israel," they shouted as they burned Israeli and American flags.
758	1915	AFP_ENG_20071221.0268.LDC2009T13	NULL			Temptations are many, you know," said Sami, a Canadian Muslim from Toronto performing the hajj with his wife.
759	297	AFP_ENG_20070209.0210.LDC2009T13	NULL			But diplomacy in Munich could be stilled by the long shadow of the United States, and perhaps hardline allies like Britain, which reject such simultaneity and want any Iranian enrichment pause to come first and be unconditional in order to keep Iran from winning additional time to continue strategic fuel work.
760	1589	AFP_ENG_20071006.0398.LDC2009T13	NULL			Jacobson made his presence felt on Friday afternoon, firing a five-under 65 en route to a 131 overall.
761	427	AFP_ENG_20070215.0008.LDC2009T13	NULL			'"These facilities are fundamental in underpinning and giving practical effect to the US alliance, and the government is strongly committed to the alliance as the key guarantee to our nation''s security," Downer said.'
762	10355	APW_ENG_20080423.0015.LDC2009T13	NULL			'Societe Generale -- soh-see-ay-TAY'' zheh-neh-RAHL'''
763	6663	APW_ENG_20070630.0255.LDC2009T13	NULL			Nearly all involved online gambling.
764	6901	APW_ENG_20070716.1418.LDC2009T13	NULL			The network said it was comfortable letting viewers judge for themselves.
765	12279	APW_ENG_20081027.0493.LDC2009T13	NULL			'The country''s main automobile producer, the Zaporizhye Automobile Building Plant, said Monday its output fell by 8.6 percent in September compared to last year''s figures.'
766	18865	NYT_ENG_20080511.0078.LDC2009T13	NULL			Did I think this would happen?
767	6364	APW_ENG_20070601.0964.LDC2009T13	NULL			Military officials would not comment on the movement and journalists were ordered further back from the camp.
768	8073	APW_ENG_20070929.0276.LDC2009T13	NULL			MELBOURNE, Australia 2007-09-29 08:08:35 UTC
769	21915	XIN_ENG_20080903.0351.LDC2009T13	NULL			Wen returned to the school, which is in makeshift buildings, during this visit.
770	12137	APW_ENG_20081012.0400.LDC2009T13	NULL			Since then he has had regular problems with a troublesome hamstring but fought his way into the test team through consistent performances in the Indian Premier League and the one- day international side.
773	10727	APW_ENG_20080522.0213.LDC2009T13	NULL			'The command''s area of responsibility includes some of the most troubling hot spots: Iraq, Iran, Pakistan, Lebanon, parts of Africa and Afghanistan.'
774	2707	AFP_ENG_20080509.0144.LDC2009T13	NULL			'In that event, "we can make a pretty strong claim that we have got the most runs and it''s the ninth inning and we have won," Obama said Thursday, using a baseball analogy.'
775	6673	APW_ENG_20070630.0255.LDC2009T13	NULL			The World Trade Organization ruled in December that the law is unfair to offshore casinos.
776	14296	LTW_ENG_20080219.0041.LDC2009T13	NULL			Potential borrowers with less- than-stellar credit will be turned away from any kind of loan these days, as will people who owe more on their mortgages than their homes are worth.
778	12612	APW_ENG_20081119.1077.LDC2009T13	NULL			Some hotels are offering cheap, last-minute deals.
779	14419	LTW_ENG_20080405.0119.LDC2009T13	NULL			'But evidence of the Clintons'' skyrocketing wealth -- including investments in a pair of hedge funds -- isn''t likely to help the former first lady in Pennsylvania or West Virginia, where she is counting on the support of financially stressed blue-collar voters.'
780	3673	AFP_ENG_20081118.0662.LDC2009T13	NULL			An estimated 30 million workers lost jobs from 1996-2004 as the government restructured state-owned companies, causing widespread protests and contributing to the masses of migrant workers today.
782	16592	NYT_ENG_20070723.0163.LDC2009T13	NULL			Frustrated with a spouse who is overly sensitive, or who can be blunt and unemotional.
783	20593	XIN_ENG_20070512.0041.LDC2009T13	NULL			(Armenia- Parliament)
784	18169	NYT_ENG_20080225.0148.LDC2009T13	NULL			'Turkish officials have withheld precise figures for the number of soldiers involved in the Turkish military''s ground operation against Kurdish rebels in northern Iraq.'
785	7433	APW_ENG_20070904.0656.LDC2009T13	NULL			Only 31 such storms have been recorded in the Atlantic, including eight in the last five seasons.
786	10476	APW_ENG_20080423.0015.LDC2009T13	NULL			'Michael Uberuaga -- oo-buh-RAH''-guh'
787	18533	NYT_ENG_20080330.0100.LDC2009T13	NULL			'when you''re playing road hockey."'
788	22101	XIN_ENG_20081101.0134.LDC2009T13	NULL			(EC- Hungary-Finance)
789	18577	NYT_ENG_20080331.0223.LDC2009T13	NULL			'"Anybody who is forced to come into this system, and who doesn''t need to be there, is affecting someone else," said Nibali, who retired in 2002 and is serving as an expert witness for the plaintiffs.'
790	6351	APW_ENG_20070601.0964.LDC2009T13	NULL			He spoke on condition of anonymity for fear of militant reprisals.
791	4088	APW_ENG_20070105.0655.LDC2009T13	NULL			Archaeologists in the Netherlands have uncovered what they believe is part of the military road that marked the northern boundary of the Roman Empire from the middle of the first century A.D.
792	2220	AFP_ENG_20080229.0270.LDC2009T13	NULL			The French-Belgian bank Dexia, which specialises in financing local authorities, reported a 7.9-percent fall in net profit on Friday but said it had been little affected by the US home-loan subprime crisis.
793	12117	APW_ENG_20081010.0115.LDC2009T13	NULL			Palin, running mate to Republican presidential nominee John McCain, is the subject of two inquiries into whether she abused her power by firing her public safety commissioner.
795	3637	AFP_ENG_20081113.0621.LDC2009T13	NULL			With technology powerhouse Microsoft as a partner, Johnson on Wednesday debuted the first of what she hopes will be a line of computer games that revives a moribund "edutainment" market for children.
796	8198	APW_ENG_20071013.0809.LDC2009T13	NULL			The group winners and runners-up qualify for the 2010 World Cup.
797	9945	APW_ENG_20080414.0477.LDC2009T13	NULL			'The governor of Germany''s eastern Saxony state announced his resignation Monday amid turmoil linked to the state''s SachsenLB bank that was battered by its exposure to U.S. subprime mortgages.'
798	4351	APW_ENG_20070121.0531.LDC2009T13	NULL			"When we are talking about rallying public opinion on genocide, who will lead the charge if not us?"
799	14266	LTW_ENG_20080219.0041.LDC2009T13	NULL			Under the new plan, the Fannie Mae and Freddie Mac loan limits will be set to 125 percent of the median home price in every metropolitan statistical area.
800	14035	LTW_ENG_20071202.0013.LDC2009T13	NULL			He is now serving a 10-year sentence for belonging to a terrorist organization.
801	14806	LTW_ENG_20080929.0015.LDC2009T13	NULL			Sat, 27 Sep 2008 14:00:38 -0400 Message-Id: E_M_A_I_L From: E_M_A_I_L To: latwp@ldc.upenn.edu Subject: LATWP 092708: bc-russia-sevastopol Date: Sat, 27 Sep 2008 14:00:30 -0400 Content-Type: text/plain
802	16675	NYT_ENG_20070821.0174.LDC2009T13	NULL			'The bitter dispute surrounding the report''s release suggests the depth of anger that remains, nearly six years after the fact, over where blame should be assigned for the intelligence failures surrounding Sept. 11.'
803	5964	APW_ENG_20070419.1372.LDC2009T13	NULL			CIT Aerospace has ordered five additional narrow-bodied Boeing 737-700s, valued at about $295 million (euro216.9 million) at list prices, Boeing Co. said Thursday.
804	2726	AFP_ENG_20080511.0177.LDC2009T13	NULL			"Many roads are still blocked and impassable," she said.
805	14045	LTW_ENG_20071202.0013.LDC2009T13	NULL			'"He came to me and said, `I''m going to Iraq.'
806	7741	APW_ENG_20070917.0809.LDC2009T13	NULL			The damages caused are estimated at euro750,000 (US$1 million), he said.
807	22232	XIN_ENG_20081205.0104.LDC2009T13	NULL			He said the national regulation unit was also monitoring areas close to the Zimbabwean border -- the origin of contamination -- to determine the health of the communities of Musina and Madibo.
808	15464	NYT_ENG_20070222.0015.LDC2009T13	NULL			Traffic is getting worse.
809	21831	XIN_ENG_20080812.0211.LDC2009T13	NULL			The airport in the Belgian capital continues to be a scene of thousands of stranded travelers, heaps of luggage and signs listing scores of delayed, diverted or cancelled flights, Belgian broadcaster VRT reported.
811	4918	APW_ENG_20070314.1213.LDC2009T13	NULL			Mikel Gaztanaga, Spain, Agritubel, same time.
812	18780	NYT_ENG_20080508.0246.LDC2009T13	NULL			"It is a sad irony that the mayor may best serve the city he loves by announcing that he will not run for another term," said longtime supporter Paul Levy, CEO of Beth Israel Deaconess Medical Center.
813	17898	NYT_ENG_20080205.0181.LDC2009T13	NULL			'During a four-year stint at Novell, Schmidt warned that it was foolhardy for any Microsoft rival to "moon the giant," as he put it, and incite Microsoft''s wrath.'
814	10646	APW_ENG_20080515.0849.LDC2009T13	NULL			Ortiz, 35, had argued she was not a celebrity and said news organizations have been harassing her and her companion, Enrique Martin Llop.
815	12470	APW_ENG_20081114.0274.LDC2009T13	NULL			"Things are less predictable than they were last season."
816	11760	APW_ENG_20080918.0478.LDC2009T13	NULL			'Each side commonly exaggerates its enemy''s casualties and plays down its own.'
817	2315	AFP_ENG_20080320.0477.LDC2009T13	NULL			I think a lot of people felt for him, but when Grant performs very well they certainly affect our team in a very positive way."
818	21061	XIN_ENG_20071111.0220.LDC2009T13	NULL			Giampaolo Pazzini (Fiorentina)
819	19146	NYT_ENG_20080721.0096.LDC2009T13	NULL			Researchers asked patients to recall what their doctors told them about their diagnosis and cause, emergency department care, post-emergency department care, and return instructions.
820	18897	NYT_ENG_20080511.0078.LDC2009T13	NULL			'The team that won 66 games hasn''t demonstrated the fortitude of a champion.'
821	14420	LTW_ENG_20080405.0119.LDC2009T13	NULL			'Hillary Clinton accounted for about $11 million of the couple''s income -- most of it from the $10.5 million she''s earned from her 2002 autobiography "Living History."'
822	10293	APW_ENG_20080423.0015.LDC2009T13	NULL			'Audrey Seiler -- SEE''-lur'
823	152	AFP_ENG_20070129.0392.LDC2009T13	NULL			In a November 2001 interview with the Saudi MBC television channel, he confirmed meeting bin Laden several times in Saudi Arabia and Pakistan before 1994.
824	14139	LTW_ENG_20080123.0002.LDC2009T13	NULL			The plan would allow congested airports to charge airlines a fee to take off or land at peak travel times.
825	11583	APW_ENG_20080828.0744.LDC2009T13	NULL			Also Thursday, Tropical Storm Hanna formed in the Atlantic, northeast of the northern Leeward Islands.
826	1700	AFP_ENG_20071108.0076.LDC2009T13	NULL			ICC match referee Roshan Mahanama imposed the fines after the teams were ruled to be one over short of their targets when time allowances were taken into consideration.
827	9302	APW_ENG_20080126.0812.LDC2009T13	NULL			Saturday, Jan. 26
828	15610	NYT_ENG_20070318.0045.LDC2009T13	NULL			IRWIN STILL HAS LEAD
829	18696	NYT_ENG_20080501.0011.LDC2009T13	NULL			The results included reorganization costs of about 3 cents a share.
830	15080	NYT_ENG_20070104.0284.LDC2009T13	NULL			'Olmert''s office is being rocked, though, by a new corruption scandal.'
831	15894	NYT_ENG_20070410.0095.LDC2009T13	NULL			Q: My son plays basketball and is 6-foot-2 and still growing.
832	1719	AFP_ENG_20071109.0162.LDC2009T13	NULL			Heightening tensions further, a suicide bomber blew himself up at the house of a minister in the northwestern city of Peshawar, killing four people.
833	15754	NYT_ENG_20070402.0104.LDC2009T13	NULL			The defining feature of the newer space is its open feel.
834	18520	NYT_ENG_20080328.0036.LDC2009T13	NULL			He fouled out with four points.
835	13104	LTW_ENG_20070301.0125.LDC2009T13	NULL			'Instead, he said, it should ``get on with the work of the Gospel.'''''
836	18952	NYT_ENG_20080710.0261.LDC2009T13	NULL			While some folks may be standing in line awaiting the newer model, owners of the iPhone released just over a year ago will be receiving iPhone 2.0 software via download.
837	9679	APW_ENG_20080310.1947.LDC2009T13	NULL			But the minister rejected the possibility of a directly negotiating with the Niger Movement for Justice, known by its French acronym of MNJ, who grabbed the 25 hostages during a raid last June.
838	4921	APW_ENG_20070314.1213.LDC2009T13	NULL			10
839	8346	APW_ENG_20071025.1505.LDC2009T13	NULL			You can count on that."
840	10766	APW_ENG_20080525.0525.LDC2009T13	NULL			Daniel Flynn did not bat
841	14318	LTW_ENG_20080307.0008.LDC2009T13	NULL			'Too bad it''s one that ignores the interests of children.'
842	20365	XIN_ENG_20070126.0256.LDC2009T13	NULL			Yu Zhendong, the banker, was convicted of misappropriating 483 million U.S. dollars before fleeing to the United States.
843	460	AFP_ENG_20070221.0575.LDC2009T13	NULL			The Labor Department said the consumer price index advanced 0.2 percent last month compared to December on surging food and medical costs.
844	17430	NYT_ENG_20071231.0111.LDC2009T13	NULL			'"His ads are hurting me," he said, adding that if failing to fight back with negative ads costs him the presidency "then I''ll probably be the last guy to ever do this."'
845	20691	XIN_ENG_20070707.0141.LDC2009T13	NULL			KATHMANDU, July 7 (Xinhua)
846	20509	XIN_ENG_20070419.0037.LDC2009T13	NULL			The program, expected to start later this year, is open to all current and aspiring performing artists, said Guo Wei, an official with the Center of Cultural and Artistic Talents (CCAT) with the Ministry of Culture.
847	7736	APW_ENG_20070917.0809.LDC2009T13	NULL			LJUBLJANA, Slovenia 2007-09-17 14:25:08 UTC
848	11408	APW_ENG_20080813.0002.LDC2009T13	NULL			-0-
849	2312	AFP_ENG_20080320.0477.LDC2009T13	NULL			'"He''s certainly of great value to our team.'
850	6973	APW_ENG_20070723.0411.LDC2009T13	NULL			'"It''s important that we establish our own position and are clear about the need for a strong European leadership but also strong European unity in this area," Britain''s Foreign Secretary David Miliband said as he arrived for the monthly meeting of EU foreign ministers.'
851	3585	AFP_ENG_20081107.5006.LDC2009T13	NULL			Marseille, Lyon and Bordeaux all posted excellent European wins, but that has been overshadowed by the fate of one Marseille fan facing an eight-year jail term following an incident at an Atletico Madrid match.
852	21569	XIN_ENG_20080417.0353.LDC2009T13	NULL			"200 meters is very short, but I shall run the most splendid and beautiful moment in my life," he said.
853	3295	AFP_ENG_20080916.0850.LDC2009T13	NULL			An ABC News/Washington Post poll earlier this month found 47 percent of voters trusted Obama to run the economy and 42 percent trusted McCain.
854	12124	APW_ENG_20081012.0400.LDC2009T13	NULL			After three years in the test wilderness, cricket allrounder Shane Watson was having the time of his life Sunday on his return to the Australia side for the first of four tests against India.
855	9871	APW_ENG_20080408.1488.LDC2009T13	NULL			Those three were in addition to the plant that was suspended for insufficient stunning.
856	16105	NYT_ENG_20070520.0148.LDC2009T13	NULL			The internal cease-fire reached in Gaza was the fifth in a week
857	16925	NYT_ENG_20070917.0130.LDC2009T13	NULL			Alliance &amp
858	14916	LTW_ENG_20081020.0053.LDC2009T13	NULL			But he declined to run, citing concerns about his privacy and a lack of passion for political combat.
859	11335	APW_ENG_20080813.0002.LDC2009T13	NULL			By Michael Kuchwara.
860	17234	NYT_ENG_20071030.0276.LDC2009T13	NULL			She was a volunteer receptionist at the church.
861	8226	APW_ENG_20071015.0723.LDC2009T13	NULL			Apr. 16-22 -- Fed Cup I
862	18368	NYT_ENG_20080319.0200.LDC2009T13	NULL			In the face of those pressures, Schultz returned as chief executive 11 weeks ago.
864	11322	APW_ENG_20080813.0002.LDC2009T13	NULL			He carries a can, and inside it is a weird, blood-red mass -- a hunk of goo the size and consistency of a generous bowl of lumpy raspberry Jell-O.
865	11546	APW_ENG_20080814.0003.LDC2009T13	NULL			Georgia rallied to beat Russia in beach volleyball, two sets to one.
866	19680	NYT_ENG_20081005.0087.LDC2009T13	NULL			By David Goricki.
867	9474	APW_ENG_20080227.0701.LDC2009T13	NULL			Arroyo has denied accusations of media harassment, citing efforts by her government to stop the growing number of killings of journalists and left-wing activists.
868	21063	XIN_ENG_20071111.0220.LDC2009T13	NULL			Alberto Gilardino (AC Milan)
869	16494	NYT_ENG_20070628.0157.LDC2009T13	NULL			FED, STILL WARY ON INFLATION, LEAVES A KEY RATE UNCHANGED
870	8342	APW_ENG_20071025.1505.LDC2009T13	NULL			'Giuliani aides play down any political implications, but they acknowledge that Kerik''s woes could be a distraction during a period in which they want their candidate promoting his vision for the United States.'
871	16614	NYT_ENG_20070723.0163.LDC2009T13	NULL			But we often do this by trial and error, and only after repeated personality conflicts that finally force a new approach.
872	22208	XIN_ENG_20081124.0171.LDC2009T13	NULL			The leaders urged companies to incorporate social responsibility into their business strategies to take account of social, labor and environmental concerns.
873	13433	LTW_ENG_20070726.0001.LDC2009T13	NULL			I lost a lot of friends after that.
874	15251	NYT_ENG_20070115.0224.LDC2009T13	NULL			'"I miss some of the guys'' parties that they''re throwing," Manning said, "but they understand.'
875	15386	NYT_ENG_20070208.0083.LDC2009T13	NULL			MOVIEGOING -- ATLANTA -- Q&amp
876	19653	NYT_ENG_20081005.0087.LDC2009T13	NULL			By Charlie Cain and Mark Hornbeck
877	17283	NYT_ENG_20071123.0006.LDC2009T13	NULL			As yet, it is not certain what caused this particular landslide, but scientists and critics have been warning for years that the reservoir created by the Three Gorges Dam might further destabilize hillsides, causing landslides and possibly even earthquakes.
878	5362	APW_ENG_20070325.0005.LDC2009T13	NULL			'Michael Arif -- uh-REEF'''
879	15740	NYT_ENG_20070402.0104.LDC2009T13	NULL			'Anyone who ventured into the Children''s Museum before is familiar with the old building''s shortcomings.'
880	17721	NYT_ENG_20080123.0149.LDC2009T13	NULL			He typically trains in the Poconos in Pennsylvania but decided to come here after a conversation about golf at Oktoberfest in his adopted hometown of Hamburg, Germany.
881	5607	APW_ENG_20070325.0005.LDC2009T13	NULL			'Curtis Doebbler -- DOHB''-blur'
882	7683	APW_ENG_20070914.0302.LDC2009T13	NULL			By most accounts, the Indian Ocean Tsunami Warning and Mitigation System passed its first big test, with the massive earthquakes in Indonesia providing the perfect opportunity for drills from Asia to Africa.
883	20521	XIN_ENG_20070427.0058.LDC2009T13	NULL			But major opposition parties like the ANPP and Action Congress claimed that they do not believe and would not accept the election results.
884	16907	NYT_ENG_20070907.0252.LDC2009T13	NULL			'The tiger will not enter the football stadium for at least LSU''s initial two home games, Baker said.'
885	6731	APW_ENG_20070705.1382.LDC2009T13	NULL			CHICAGO 2007-07-05 21:22:45 UTC
886	7974	APW_ENG_20070924.0721.LDC2009T13	NULL			Robin Uthappa c Shahid Afridi b Sohail Tanvir 8
887	2366	AFP_ENG_20080329.0084.LDC2009T13	NULL			'This was the perfect response to Arsenal''s impressively resilient victory at Bolton earlier in the day that appeared to revive the London club title claims.'
888	2336	AFP_ENG_20080321.0453.LDC2009T13	NULL			Handle with care
889	736	AFP_ENG_20070415.0098.LDC2009T13	NULL			North Korea wins time as nuke deadline slips by Philippe Agret
890	14915	LTW_ENG_20081020.0053.LDC2009T13	NULL			He looked to be a formidable candidate in the 1996 race: a black centrist, long an independent, who had led the victorious U.S. military during the 1991 Persian Gulf War.
891	7150	APW_ENG_20070810.0204.LDC2009T13	NULL			'Wall Street''s deepening fears about a spreading credit crunch sent stocks plunging again, with the Dow Jones industrials extending their series of triple-digit swings and falling more than 380 points.'
892	20324	XIN_ENG_20070109.0332.LDC2009T13	NULL			Kuwaiti crude oil price rises
893	3646	AFP_ENG_20081113.0621.LDC2009T13	NULL			"Out of that came Living Ink, which we hope delights children in that what they draw comes to life and they interact with it," Johnson said.
894	2823	AFP_ENG_20080516.0743.LDC2009T13	NULL			'All I''ve got are the clothes that I''m wearing," he says with a blank look behind his small oval glasses.'
895	3591	AFP_ENG_20081107.5006.LDC2009T13	NULL			'"It''s like that at Marseille, it''s a family, we never forget.'
896	14462	LTW_ENG_20080424.0148.LDC2009T13	NULL			'They hadn''t been able to afford to take along teachers who would help with the kids.'
897	2879	AFP_ENG_20080519.0535.LDC2009T13	NULL			Oil and gas leader Woodside Petroleum surged 10 percent to a record 69.50 dollars and Santos gained 6.8 percent to 19.76 dollars.
898	7859	APW_ENG_20070919.0847.LDC2009T13	NULL			By Katy Pownall.
899	9207	APW_ENG_20080118.0028.LDC2009T13	NULL			'"Let''s tell the truth here, it''s not aimed against Iran, or against Vietnam or whatever -- it''s against Russia."'
900	21180	XIN_ENG_20071211.0110.LDC2009T13	NULL			'"The text is a good start, but I don''t think we''ll see an agreement on the roadmap before Friday," warns a delegate.'
901	19058	NYT_ENG_20080715.0116.LDC2009T13	NULL			'Finally, only Cousy was left, so our slogan was ''Don''t lose the Cooz."'''
902	18998	NYT_ENG_20080710.0261.LDC2009T13	NULL			The new software enables some new features, including the ability to get e-mail, contacts and calendar information from the Microsoft Exchange servers used by many businesses
903	21196	XIN_ENG_20071224.0298.LDC2009T13	NULL			Nepal receives 425 mln USD foreign aid commitments in 10 months
904	21743	XIN_ENG_20080722.0265.LDC2009T13	NULL			'Gilad Lustig, director of Israel''s Elite Sport Department, a body set up in 1984 to oversee the selection of athletes for the Olympics, said that "I hope we claim between one or two medals and reach between six and eight finals."'
905	18787	NYT_ENG_20080508.0246.LDC2009T13	NULL			'and expensive technological efficiencies, like a fuel efficient heating system, account for the school''s high cost, he said.'
906	235	AFP_ENG_20070203.0316.LDC2009T13	NULL			'"He won''t complete a full match but he''s been cleared by the doctors and is fit to play a few minutes, half an hour or more," added the Dutchman.'
907	16932	NYT_ENG_20070917.0130.LDC2009T13	NULL			'Northern''s woes ricocheted back to the United States, where Citigroup fell 61 cents, to $46.03.'
908	13968	LTW_ENG_20071026.0132.LDC2009T13	NULL			"If the industry decides to dig in its heels against the clear guidance of the advisory committee I hope the FDA has the ability to stop them," Sharfstein said.
909	18682	NYT_ENG_20080417.0200.LDC2009T13	NULL			Most want nothing to do with religious feuding and blame politicians for the ungodly messes going on in Iraq, Palestine, Afghanistan and elsewhere.
910	13497	LTW_ENG_20070728.0017.LDC2009T13	NULL			He said dowsers found him plentiful supplies on three properties.
911	5873	APW_ENG_20070407.0636.LDC2009T13	NULL			Alinghi finished with 78 points, 14 more than two-time season winner Emirates Team New Zealand.
912	1975	AFP_ENG_20071227.0085.LDC2009T13	NULL			Her welcome home parade was hit in the deadliest terror attack in Pakistani history, killing 139 people, while her talks with Musharraf ended in acrimony after he declared emergency rule on November 3.
913	21897	XIN_ENG_20080903.0351.LDC2009T13	NULL			"The relief work [so far] is successful," said Wen, on his fourth visit to Sichuan since the quake.
